Report Number,Sample Id,Project Name,Brand NickName,Lab Name,Lab Number,Matrix Type,Sampled DateTime,Received Date,Prep date/time,DateTime Test Started,CAS Number,Analyte Description,Result,Unit of Measure,Qualifier,Dilution Factor,Quantitation Limit,Method,QC Batch No
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,218-01-9,Chrysene,0.723,mg/Kg - dry,,1,0.018,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,108-20-3,Di-Isopropyl Ether (DIPE),<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,53-70-3,Dibenz(ah)anthracene,<0.030,mg/Kg - dry,,1,0.030,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,132-64-9,Dibenzofuran,0.210,mg/Kg - dry,J,1,0.016,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,96-12-8,12-Dibromo-3-Chloropropane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,106-93-4,12-Dibromoethane,<0.0007,mg/Kg - dry,,1,0.0007,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,74-95-3,Dibromomethane,<0.0008,mg/Kg - dry,,1,0.0008,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,95-50-1,12-Dichlorobenzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,95-50-1,12-Dichlorobenzene,<0.015,mg/Kg - dry,,1,0.015,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,541-73-1,13-Dichlorobenzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,541-73-1,13-Dichlorobenzene,<0.015,mg/Kg - dry,,1,0.015,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,106-46-7,14-Dichlorobenzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,106-46-7,14-Dichlorobenzene,<0.015,mg/Kg - dry,,1,0.015,SW-8270E,W6783
